id,name,PLZ
1,Aeugst am Albis,8914
2,Affoltern am Albis,8909
2,Affoltern am Albis,8910
3,Bonstetten,8906
4,Hausen am Albis,6340
4,Hausen am Albis,8135
4,Hausen am Albis,8915
4,Hausen am Albis,8925
5,Hedingen,8908
6,Kappel am Albis,8926
7,Knonau,8934
8,Maschwanden,8933
9,Mettmenstetten,8932
10,Obfelden,8912
11,Ottenbach,8913
12,Rifferswil,8911
13,Stallikon,8134
13,Stallikon,8143
14,Wettswil am Albis,8907
22,Benken (ZH),8463
23,Berg am Irchel,8415
24,Buch am Irchel,8414
25,Dachsen,8447
26,Dorf,8458
27,Feuerthalen,8245
27,Feuerthalen,8246
28,Flaach,8416
29,Flurlingen,8247
31,Henggart,8444
33,Kleinandelfingen,8451
33,Kleinandelfingen,8453
33,Kleinandelfingen,8461
34,Laufen-Uhwiesen,8212
34,Laufen-Uhwiesen,8248
35,Marthalen,8460
35,Marthalen,8464
37,Ossingen,8466
37,Ossingen,8475
38,Rheinau,8462
39,Thalheim an der Thur,8478
40,Trüllikon,8465
41,Truttikon,8467
43,Volken,8459
51,Bachenbülach,8180
51,Bachenbülach,8184
52,Bassersdorf,8303
53,Bülach,8192
54,Dietlikon,8305
54,Dietlikon,8600
55,Eglisau,8193
55,Eglisau,8197
56,Embrach,8424
57,Freienstein-Teufen,8427
57,Freienstein-Teufen,8428
59,Hochfelden,8182
60,Höri,8181
61,Hüntwangen,8194
62,Kloten,8302
62,Kloten,8309
63,Lufingen,8426
65,Oberembrach,8425
66,Opfikon,8052
66,Opfikon,8152
69,Wallisellen,8304
70,Wasterkingen,8195
70,Wasterkingen,8196
72,Winkel,8185
81,Bachs,8164
82,Boppelsen,8113
82,Boppelsen,8158
83,Buchs (ZH),8107
84,Dällikon,8108
85,Dänikon,8114
86,Dielsdorf,8157
87,Hüttikon,8115
88,Neerach,8162
88,Neerach,8173
88,Neerach,8174
89,Niederglatt,8155
89,Niederglatt,8172
90,Niederhasli,8156
91,Niederweningen,8166
92,Oberglatt,8154
93,Oberweningen,5462
93,Oberweningen,8165
94,Otelfingen,8112
