ID,MainCategory,SubCategory,TotalPower,Date
23,Hydroelectric power,Hydroelectric power,349576,1969
23,Hydroelectric power,Hydroelectric power,55900,1952
23,Hydroelectric power,Hydroelectric power,70418,1953
18,Hydroelectric power,Hydroelectric power,21600,1951
18,Hydroelectric power,Hydroelectric power,87380,1967
23,Hydroelectric power,Hydroelectric power,19200,1908
23,Hydroelectric power,Hydroelectric power,447855,1929
19,Hydroelectric power,Hydroelectric power,112000,1930
4,Hydroelectric power,Hydroelectric power,197300,1961
2,Hydroelectric power,Hydroelectric power,21250,1962
21,Other renewable energies,Photovoltaic,55.699999999999996,1992
21,Other renewable energies,Photovoltaic,20.8,2004
14,Other renewable energies,Photovoltaic,112.05000000000001,2003
13,Hydroelectric power,Hydroelectric power,90000,1954
18,Hydroelectric power,Hydroelectric power,91098,1990
4,Hydroelectric power,Hydroelectric power,1200,1959
4,Hydroelectric power,Hydroelectric power,13000,1969
4,Hydroelectric power,Hydroelectric power,25000,1966
4,Hydroelectric power,Hydroelectric power,12500,1955
21,Hydroelectric power,Hydroelectric power,17500,1970
21,Hydroelectric power,Hydroelectric power,4575,1998
21,Hydroelectric power,Hydroelectric power,3580,1976
19,Hydroelectric power,Hydroelectric power,3345,1988
1,Hydroelectric power,Hydroelectric power,375,1999
2,Hydroelectric power,Hydroelectric power,21736,1996
2,Hydroelectric power,Hydroelectric power,863,1997
2,Hydroelectric power,Hydroelectric power,1215,2022
4,Hydroelectric power,Hydroelectric power,1280,1905
19,Hydroelectric power,Hydroelectric power,1024,1986
15,Other renewable energies,Biomass,1065,2006
2,Hydroelectric power,Hydroelectric power,1670,1998
20,Other renewable energies,Wind energy,6.4,2003
4,Hydroelectric power,Hydroelectric power,2000,1962
2,Hydroelectric power,Hydroelectric power,15000,1968
2,Hydroelectric power,Hydroelectric power,15000,1963
2,Hydroelectric power,Hydroelectric power,8337.5,1982
2,Other renewable energies,Photovoltaic,92.10000000000001,1995
22,Hydroelectric power,Hydroelectric power,5660,1990
18,Hydroelectric power,Hydroelectric power,10500,1927
14,Hydroelectric power,Hydroelectric power,5160,1951
15,Other renewable energies,Photovoltaic,28.200000000000003,1999
