ID,MainCategory,SubCategory,TotalPower
4048,Other renewable energies,Photovoltaic,2243.39
4049,Other renewable energies,Photovoltaic,1311.35
4062,Other renewable energies,Photovoltaic,1271.11
4064,Hydroelectric power,Hydroelectric power,9.70
4064,Other renewable energies,Photovoltaic,600.46
4065,Other renewable energies,Photovoltaic,2423.88
4065,Hydroelectric power,Hydroelectric power,17.00
4066,Other renewable energies,Photovoltaic,342.75
4067,Other renewable energies,Photovoltaic,1086.39
4067,Other renewable energies,Biomass,235.00
4068,Other renewable energies,Photovoltaic,1542.33
4071,Other renewable energies,Photovoltaic,1082.79
4073,Other renewable energies,Photovoltaic,1424.32
4073,Hydroelectric power,Hydroelectric power,5.50
4074,Other renewable energies,Photovoltaic,1416.93
4075,Other renewable energies,Photovoltaic,86.44
4076,Other renewable energies,Photovoltaic,1708.47
4077,Other renewable energies,Photovoltaic,1948.50
4078,Other renewable energies,Photovoltaic,306.77
4079,Other renewable energies,Biomass,48.00
4079,Other renewable energies,Photovoltaic,812.54
4080,Other renewable energies,Photovoltaic,6630.71
4081,Other renewable energies,Photovoltaic,1463.46
4083,Other renewable energies,Photovoltaic,1837.60
4084,Other renewable energies,Photovoltaic,167.70
4091,Other renewable energies,Photovoltaic,814.06
4091,Hydroelectric power,Hydroelectric power,44560.00
4092,Other renewable energies,Photovoltaic,1460.97
4093,Other renewable energies,Photovoltaic,1106.70
4095,Other renewable energies,Photovoltaic,2304.36
4095,Fossil fuel,Natural gas,304.00
4099,Other renewable energies,Photovoltaic,357.94
4099,Other renewable energies,Biomass,5.50
4104,Other renewable energies,Photovoltaic,2405.98
4105,Other renewable energies,Photovoltaic,108.37
4106,Other renewable energies,Photovoltaic,146.09
4107,Other renewable energies,Photovoltaic,1101.37
4110,Other renewable energies,Photovoltaic,581.23
4111,Other renewable energies,Photovoltaic,307.28
4112,Other renewable energies,Photovoltaic,602.13
4121,Other renewable energies,Photovoltaic,856.61
4121,Other renewable energies,Biomass,72.00
4121,Fossil fuel,Natural gas,100.00
4122,Other renewable energies,Photovoltaic,627.75
4122,Hydroelectric power,Hydroelectric power,44100.00
4123,Other renewable energies,Photovoltaic,2161.37
4123,Hydroelectric power,Hydroelectric power,2097.00
4123,Fossil fuel,Natural gas,482.00
4124,Other renewable energies,Photovoltaic,1752.21
4125,Other renewable energies,Photovoltaic,18.83
4131,Other renewable energies,Photovoltaic,1732.59
4132,Other renewable energies,Photovoltaic,488.06
4132,Hydroelectric power,Hydroelectric power,26.00
4134,Other renewable energies,Photovoltaic,1618.11
4135,Other renewable energies,Photovoltaic,1425.47
4136,Other renewable energies,Photovoltaic,901.73
4138,Other renewable energies,Photovoltaic,630.25
4139,Other renewable energies,Photovoltaic,1916.70
4140,Other renewable energies,Photovoltaic,1430.38
4142,Other renewable energies,Photovoltaic,452.85
4143,Other renewable energies,Wind energy,10.00
4143,Other renewable energies,Photovoltaic,285.80
4144,Other renewable energies,Photovoltaic,1954.42
4144,Other renewable energies,Biomass,37.00
4144,Hydroelectric power,Hydroelectric power,75.00
4146,Other renewable energies,Photovoltaic,1830.09
4147,Other renewable energies,Photovoltaic,640.39
4161,Other renewable energies,Photovoltaic,1307.32
4163,Other renewable energies,Photovoltaic,4338.57
4164,Other renewable energies,Photovoltaic,447.11
4165,Other renewable energies,Photovoltaic,2205.53
4166,Other renewable energies,Photovoltaic,941.63
4169,Other renewable energies,Photovoltaic,1079.34
4169,Other renewable energies,Biomass,320.00
4170,Other renewable energies,Photovoltaic,801.40
4170,Hydroelectric power,Hydroelectric power,106000.00
4173,Other renewable energies,Photovoltaic,576.37
4175,Other renewable energies,Photovoltaic,1262.14
4176,Other renewable energies,Photovoltaic,453.28
4177,Other renewable energies,Biomass,8154.00
4177,Other renewable energies,Photovoltaic,1804.62
4179,Other renewable energies,Photovoltaic,415.05
4181,Other renewable energies,Photovoltaic,2538.72
4182,Other renewable energies,Photovoltaic,1164.06
4183,Other renewable energies,Photovoltaic,887.83
4191,Other renewable energies,Photovoltaic,197.30
4192,Other renewable energies,Photovoltaic,647.43
4193,Other renewable energies,Photovoltaic,1492.58
4194,Other renewable energies,Photovoltaic,2169.04
4195,Other renewable energies,Photovoltaic,1307.22
4196,Other renewable energies,Photovoltaic,1348.67
4197,Other renewable energies,Photovoltaic,916.48
4198,Other renewable energies,Photovoltaic,960.52
4198,Other renewable energies,Biomass,76.00
4200,Other renewable energies,Photovoltaic,1875.36
4201,Other renewable energies,Photovoltaic,5058.03
4201,Other renewable energies,Biomass,270.20
4201,Hydroelectric power,Hydroelectric power,351.00
4202,Other renewable energies,Photovoltaic,1592.25
4203,Other renewable energies,Photovoltaic,42.22
4204,Other renewable energies,Photovoltaic,1471.06
4204,Hydroelectric power,Hydroelectric power,450.00
4205,Other renewable energies,Photovoltaic,1737.28
4206,Other renewable energies,Photovoltaic,2899.18
4207,Other renewable energies,Photovoltaic,2772.95
4208,Other renewable energies,Photovoltaic,2339.26
