ID,MainCategory,SubCategory,TotalPower
5483,Other renewable energies,Photovoltaic,203.10
5484,Other renewable energies,Photovoltaic,827.26
5484,Other renewable energies,Biomass,540.00
5485,Hydroelectric power,Hydroelectric power,30.00
5485,Other renewable energies,Photovoltaic,409.34
5486,Other renewable energies,Photovoltaic,264.92
5486,Hydroelectric power,Hydroelectric power,22.00
5487,Other renewable energies,Photovoltaic,431.17
5488,Other renewable energies,Photovoltaic,4.80
5490,Other renewable energies,Photovoltaic,109.72
5491,Other renewable energies,Photovoltaic,263.49
5492,Other renewable energies,Photovoltaic,1196.25
5493,Other renewable energies,Photovoltaic,269.86
5495,Other renewable energies,Photovoltaic,855.35
5495,Hydroelectric power,Hydroelectric power,145.00
5496,Other renewable energies,Photovoltaic,983.98
5497,Other renewable energies,Photovoltaic,394.55
5498,Other renewable energies,Photovoltaic,1532.50
5498,Hydroelectric power,Hydroelectric power,220.00
5499,Other renewable energies,Photovoltaic,120.17
5501,Other renewable energies,Photovoltaic,563.39
5503,Other renewable energies,Photovoltaic,2522.21
5511,Other renewable energies,Photovoltaic,596.62
5512,Other renewable energies,Photovoltaic,841.81
5514,Other renewable energies,Photovoltaic,840.15
5515,Other renewable energies,Photovoltaic,860.69
5518,Other renewable energies,Photovoltaic,5156.64
5520,Other renewable energies,Photovoltaic,1225.36
5521,Other renewable energies,Photovoltaic,1157.00
5522,Other renewable energies,Photovoltaic,285.36
5523,Other renewable energies,Photovoltaic,1447.67
5529,Other renewable energies,Photovoltaic,287.44
5530,Other renewable energies,Photovoltaic,1070.80
5531,Other renewable energies,Photovoltaic,530.40
5533,Other renewable energies,Photovoltaic,351.58
5534,Other renewable energies,Biomass,4000.00
5534,Other renewable energies,Photovoltaic,1335.35
5537,Other renewable energies,Photovoltaic,746.52
5539,Other renewable energies,Photovoltaic,649.06
5540,Other renewable energies,Photovoltaic,7.26
5551,Other renewable energies,Photovoltaic,432.29
5552,Other renewable energies,Photovoltaic,439.91
