ID,MainCategory,SubCategory,TotalPower,Date
6024,Hydroelectric power,Hydroelectric power,336,2018
6134,Hydroelectric power,Hydroelectric power,112,2018
5889,Other renewable energies,Photovoltaic,46.4,2009
6774,Other renewable energies,Photovoltaic,270.3,2011
5539,Other renewable energies,Photovoltaic,68.9,2011
4606,Other renewable energies,Photovoltaic,11.7,2007
1062,Other renewable energies,Photovoltaic,40.480000000000004,2009
3002,Other renewable energies,Photovoltaic,62.21000000000001,2009
3003,Other renewable energies,Photovoltaic,34.11,2009
3006,Other renewable energies,Photovoltaic,115.01999999999998,2009
3103,Other renewable energies,Photovoltaic,314.6100000000001,2009
3359,Other renewable energies,Photovoltaic,39.510000000000005,2009
3360,Other renewable energies,Photovoltaic,81.21,2009
5892,Other renewable energies,Photovoltaic,975.5600000000001,2010
571,Other renewable energies,Photovoltaic,29.43,2009
572,Other renewable energies,Photovoltaic,33.989999999999995,2009
581,Other renewable energies,Photovoltaic,29.43,2009
587,Other renewable energies,Photovoltaic,29.43,2009
593,Other renewable energies,Photovoltaic,29.43,2009
113,Other renewable energies,Photovoltaic,47.839999999999996,2008
4606,Other renewable energies,Photovoltaic,36.36,2011
3001,Other renewable energies,Photovoltaic,550.02,2008
3004,Other renewable energies,Photovoltaic,61.79999999999999,2008
3007,Other renewable energies,Photovoltaic,36.6,2008
3443,Other renewable energies,Photovoltaic,550.02,2008
5611,Other renewable energies,Photovoltaic,121.02,2009
2321,Other renewable energies,Photovoltaic,32.25,2011
2333,Other renewable energies,Photovoltaic,1027.6000000000001,2011
6135,Hydroelectric power,Hydroelectric power,1784,2013
3004,Other renewable energies,Photovoltaic,143.39999999999998,2009
3007,Other renewable energies,Photovoltaic,61.300000000000004,2009
3341,Other renewable energies,Photovoltaic,886.96,2011
3342,Other renewable energies,Photovoltaic,425.0900000000001,2011
5583,Other renewable energies,Photovoltaic,8.9,2010
5586,Other renewable energies,Photovoltaic,111.67,2010
5909,Other renewable energies,Photovoltaic,556.0699999999999,2011
5911,Other renewable energies,Photovoltaic,556.0699999999999,2011
5938,Other renewable energies,Photovoltaic,556.0699999999999,2011
613,Other renewable energies,Photovoltaic,31.74,2009
903,Other renewable energies,Photovoltaic,301.0400000000001,2009
955,Other renewable energies,Photovoltaic,151.64999999999998,2009
3101,Other renewable energies,Photovoltaic,202.99999999999997,2009
3102,Other renewable energies,Photovoltaic,125.80000000000001,2009
3104,Other renewable energies,Photovoltaic,248.79999999999998,2009
2500,Other renewable energies,Photovoltaic,12.6,2008
2581,Other renewable energies,Photovoltaic,6.1,2008
2584,Other renewable energies,Photovoltaic,6.1,2008
4271,Other renewable energies,Photovoltaic,10,2008
5401,Other renewable energies,Photovoltaic,76.30000000000001,2009
5409,Other renewable energies,Photovoltaic,94.89999999999998,2009
5607,Other renewable energies,Photovoltaic,48.97,2011
5613,Other renewable energies,Photovoltaic,117.94000000000004,2011
6135,Other renewable energies,Photovoltaic,843.6399999999998,2013
112,Other renewable energies,Photovoltaic,26.78,2008
3340,Other renewable energies,Photovoltaic,87.88,2008
6140,Other renewable energies,Photovoltaic,24.82,2011
6133,Other renewable energies,Photovoltaic,198.5,2012
4202,Other renewable energies,Photovoltaic,16.2,2009
113,Other renewable energies,Photovoltaic,80.21000000000001,2009
3101,Other renewable energies,Photovoltaic,3744.630000000001,2012
3102,Other renewable energies,Photovoltaic,1317.1200000000008,2012
3104,Other renewable energies,Photovoltaic,4188.650000000003,2012
3103,Other renewable energies,Photovoltaic,4817.990000000005,2012
3313,Other renewable energies,Photovoltaic,54.769999999999996,2009
3315,Other renewable energies,Photovoltaic,54.769999999999996,2009
5482,Other renewable energies,Photovoltaic,96.89999999999999,2010
5456,Other renewable energies,Photovoltaic,42.31,2011
5412,Other renewable energies,Photovoltaic,92.6,2010
5413,Other renewable energies,Photovoltaic,164.3,2011
6601,Other renewable energies,Photovoltaic,13.260000000000002,2012
2044,Other renewable energies,Photovoltaic,4.5,2011
5892,Other renewable energies,Photovoltaic,37.7,2009
4007,Other renewable energies,Photovoltaic,15,2008
2863,Other renewable energies,Photovoltaic,62.24,2011
2884,Other renewable energies,Photovoltaic,87.41,2011
5889,Other renewable energies,Photovoltaic,9.5,2007
112,Other renewable energies,Photovoltaic,231.74,2011
3340,Other renewable energies,Photovoltaic,275.69000000000005,2011
3901,Other renewable energies,Wind energy,3000,2013
5403,Other renewable energies,Photovoltaic,122.8,2011
4046,Other renewable energies,Photovoltaic,59.400000000000006,2009
3426,Other renewable energies,Photovoltaic,120.82000000000002,2009
329,Other renewable energies,Photovoltaic,398,2010
4656,Other renewable energies,Photovoltaic,10.1,2008
329,Other renewable energies,Photovoltaic,67.07,2011
321,Other renewable energies,Photovoltaic,50.56,2010
342,Other renewable energies,Photovoltaic,84.92,2010
4008,Other renewable energies,Photovoltaic,20.58,2011
88,Other renewable energies,Photovoltaic,347.57,2012
101,Other renewable energies,Photovoltaic,677.6700000000001,2012
4436,Other renewable energies,Photovoltaic,8.9,2006
4451,Other renewable energies,Photovoltaic,8.9,2006
1205,Other renewable energies,Photovoltaic,148.12,2008
1218,Other renewable energies,Photovoltaic,8,2008
4711,Other renewable energies,Photovoltaic,8.8,2008
4921,Other renewable energies,Photovoltaic,4.4,2008
3101,Other renewable energies,Photovoltaic,455.5200000000001,2008
3102,Other renewable energies,Photovoltaic,215.64000000000001,2008
3104,Other renewable energies,Photovoltaic,546.0500000000002,2008
3103,Other renewable energies,Photovoltaic,629.3600000000001,2008
4207,Other renewable energies,Photovoltaic,6.4,2008
4656,Other renewable energies,Photovoltaic,110.5,2009
668,Other renewable energies,Photovoltaic,41.099999999999994,2008
382,Other renewable energies,Photovoltaic,14.6,2008
3275,Other renewable energies,Photovoltaic,20,2006
6054,Hydroelectric power,Hydroelectric power,280,2011
6177,Hydroelectric power,Hydroelectric power,280,2011
4643,Other renewable energies,Photovoltaic,60.6,2008
4671,Other renewable energies,Photovoltaic,60.6,2008
3032,Other renewable energies,Photovoltaic,211.24,2009
3111,Other renewable energies,Photovoltaic,406.84000000000003,2009
5192,Other renewable energies,Photovoltaic,44.199999999999996,2008
6008,Other renewable energies,Photovoltaic,1.8,2010
3786,Other renewable energies,Photovoltaic,19.4,2008
1371,Other renewable energies,Photovoltaic,23.8,2009
1704,Other renewable energies,Photovoltaic,46.2,2009
1706,Other renewable energies,Photovoltaic,118.38000000000001,2009
1709,Other renewable energies,Photovoltaic,23.8,2009
6754,Other renewable energies,Photovoltaic,209.60000000000002,2009
34,Other renewable energies,Photovoltaic,51.25,2008
2937,Other renewable energies,Photovoltaic,69.45,2008
2939,Other renewable energies,Photovoltaic,100.45,2008
230,Other renewable energies,Photovoltaic,82.00000000000001,2008
1089,Other renewable energies,Photovoltaic,3.1,2009
1104,Other renewable energies,Photovoltaic,336.28,2009
5909,Other renewable energies,Photovoltaic,101.55,2009
5911,Other renewable energies,Photovoltaic,101.55,2009
5938,Other renewable energies,Photovoltaic,101.55,2009
3032,Other renewable energies,Photovoltaic,319.54,2008
3111,Other renewable energies,Photovoltaic,687.48,2008
1214,Other renewable energies,Photovoltaic,16.2,2011
2295,Other renewable energies,Photovoltaic,208.92000000000002,2011
2309,Other renewable energies,Photovoltaic,216.27,2011
4195,Other renewable energies,Photovoltaic,15.600000000000001,2008
4621,Other renewable energies,Photovoltaic,36.9,2007
4811,Other renewable energies,Photovoltaic,29.4,2007
1401,Other renewable energies,Photovoltaic,59.7,2009
177,Other renewable energies,Photovoltaic,14.2,2007
